0_Index,1_Name,2_Tax,3_mean_genus_perc,4_perc_samples,Family
2,Alkalilimnicola,genus,19.910127586776373,100,Halorhodospiraceae
3,Thioalkalivibrio,genus,18.04498131727911,100,Ectothiorhodospiraceae
4,Roseinatronobacter,genus,5.047828207821124,100,Rhodobacteraceae
5,Halothiobacillus,genus,8.784973190474016,100,Halothiobacillaceae
8,Halomonas,genus,4.872623270741904,100,Halomonadaceae
9,Acholeplasma,genus,4.433910833861156,100,Acholeplasmataceae
10,Aliidiomarina,genus,1.9295861989251717,100,Idiomarinaceae
11,Psychroflexus,genus,0.9950157564365412,100,Flavobacteriaceae
12,Thioalkalimicrobium,genus,1.3585426630060662,100,Thiomicrospiraceae
13,Desulfurispirillum,genus,0.7949452747527217,100,Chrysiogenaceae
14,Thioalkalibacter,genus,0.9510191252725911,100,Thioalkalibacteraceae
1,Fodinicurvataceae,family,18.612394384383947,100,Fodinicurvataceae
6,Thiomicrospiraceae,family,5.824213475717608,100,Thiomicrospiraceae
7,Rhodobacteraceae,family,5.0132104946221245,100,Rhodobacteraceae
